id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
350954,CN-0258,small_airport,"Wudalianchi Xingfu Airport",48.73158,127.37618,1266,AS,China,CN,"Heilongjiang Province",CN-23,23,Heihe,0,,,,,,,50,2021-12-22T17:38:33+00:00
350960,CN-0264,small_airport,"Wudalianchi Longmen Airport",48.91567,126.91011,1276,AS,China,CN,"Heilongjiang Province",CN-23,23,Heihe,0,,,,,,,50,2021-12-22T18:29:01+00:00
350961,CN-0265,small_airport,"Wudalianchi Longzhen General Airport",48.65333,126.71333,1004,AS,China,CN,"Heilongjiang Province",CN-23,23,Heihe,0,,,,,,,50,2021-12-22T18:33:34+00:00
525153,CN-0415,small_airport,"Bayinbuluke airport (under construction, location to be confirmed)",42.9766,83.9729,8219,AS,China,CN,"Xinjiang Autonomous Region",CN-65,65,Hejing,0,ZWHJ,HJB,,,https://en.wikipedia.org/wiki/Hejing_Bayinbuluke_Airport,,50,2024-04-09T19:24:29+00:00
525766,CN-0418,small_airport,"Hohhot Shengle International Airport (under construction)",40.480965,111.575174,,AS,China,CN,"Inner Mongolia Autonomous Region",CN-15,15,Hohhot,0,,,,,https://en.wikipedia.org/wiki/Hohhot_Shengle_International_Airport,,50,2024-04-15T14:29:11+00:00
430022,CN-0383,small_airport,"Mile Dongfeng Airport",24.2956,103.40847,,AS,China,CN,"Yunnan Province",CN-53,53,"Honghe (Mile)",0,,,,,,,50,2022-09-20T19:33:22+00:00
44272,CN-0194,small_airport,"Jinxi Air Base",40.749199,120.878998,,AS,China,CN,"Liaoning Province",CN-21,21,Huludao,0,ZYUH,,,,,,50,2022-05-04T05:09:53+00:00
342426,CN-0157,small_airport,"Morin Dawa Banner Airport",48.38745,124.43127,722,AS,China,CN,"Inner Mongolia Autonomous Region",CN-15,15,Hulunbuir,0,,DWS,,,,,50,2021-03-26T17:18:49+00:00
44223,CN-0145,small_airport,"Changxing Air Base",30.968599,119.731003,,AS,China,CN,"Zhejiang Province",CN-33,33,Huzhou,0,,,,,,,50,2021-10-01T10:06:48+00:00
336115,DEQ,small_airport,"Deqing Moganshan Airport",30.504264,120.107388,,AS,China,CN,"Zhejiang Province",CN-33,33,Huzhou,0,,DEQ,,,https://en.wikipedia.org/wiki/Deqing_Moganshan_Airport,,50,2021-12-21T16:03:52+00:00
350924,CN-0243,small_airport,"Qindeli Farm Airport",47.96256,133.18252,246,AS,China,CN,"Heilongjiang Province",CN-23,23,Jiamusi,0,,,,,,,50,2021-12-22T01:29:42+00:00
350963,CN-0266,small_airport,"Tongjiang Nongjiang Farm Airport",47.736986,133.234103,203,AS,China,CN,"Heilongjiang Province",CN-23,23,Jiamusi,0,,,,,,,50,2021-12-22T21:19:03+00:00
350964,CN-0267,small_airport,"Jiamusi Sanhetun General Airport",46.79304,130.26974,279,AS,China,CN,"Heilongjiang Province",CN-23,23,Jiamusi,0,,,,,,,50,2021-12-22T21:26:01+00:00
44171,CN-0093,small_airport,"Jinan Qihe Air Base",36.769139,116.639787,82,AS,China,CN,"Shandong Province",CN-37,37,Jinan,0,,,,,,,50,2021-10-12T16:08:26+00:00
348693,CN-0219,small_airport,"Jinan Pingyin General Airport",36.29659,116.43959,131,AS,China,CN,"Shandong Province",CN-37,37,Jinan,0,,,,,,,50,2021-10-12T16:09:34+00:00
350889,CN-0241,small_airport,"Jingmen Zhanghe General Airport",30.985923,112.05368,454,AS,China,CN,"Hubei Province",CN-42,42,"Jingmen (Dongbao)",0,,,,,,,50,2022-08-29T14:57:18+00:00
32296,ZHSS,closed,"Former Shashi Airport",30.324289,112.279861,112,AS,China,CN,"Hubei Province",CN-42,42,"Jingzhou (Shashi)",0,,,,,https://en.wikipedia.org/wiki/Shashi_Airport,"SHS, ZHSS",50,2022-10-17T10:20:56+00:00
350871,CN-0232,small_airport,"Xiantao General Airport",30.40678,113.59485,,AS,China,CN,"Hubei Province",CN-42,42,"Jingzhou (Xiantao)",0,,,,,,,50,2022-10-17T10:19:15+00:00
